id,created_at,original_text,clean_text,retweet_count,hashtags,mentions,original_author
1280974438993997829,2020-07-08 21:18:00+00:00,Trump launched his 2016 campaign by calling Mexicans rapists. He's spread racism against our Latino community ever since. We need to work in partnership with Mexico. We need to restore dignity and humanity to our immigration system. That's what I'll do as President.,Trump launch 2016 campaign call Mexicans rapist spread racism latino community need work partnership Mexico need restore dignity humanity immigration system President,21025,<UNK>,<UNK>,JoeBiden
1280950782909538304,2020-07-08 19:44:00+00:00,Let me be clear: No one should be forced out of their home in the middle of a pandemic because they can’t pay rent.,clear force home middle pandemic rent,6630,<UNK>,<UNK>,JoeBiden
1280923603744296962,2020-07-08 17:56:00+00:00,"When there were 15 cases, the President said it wouldn't spread any farther. We just hit our 3 millionth case. We're paying for his failure.",case President say spread far millionth case pay failure,21008,<UNK>,<UNK>,JoeBiden
1280887625147191296,2020-07-08 15:33:02+00:00,".@AdyBarkan — The courage you show every day is an inspiration to so many, and I'm grateful to have you by my side in this fight. We may not agree on everything, but this we do: Health care is a right — not a privilege. And we're going to make that a reality, together.",.@adybarkan courage inspiration grateful fight agree health care right privilege go reality,7056,<UNK>,@AdyBarkan,JoeBiden
1280667921916854273,2020-07-08 01:00:00+00:00,This is a national disgrace. We have to ensure these communities get the care they need immediately — and then tackle racial disparities in health care and our economy head-on.,national disgrace ensure community care need immediately tackle racial disparity health care economy head,7352,<UNK>,<UNK>,JoeBiden
1280651561518002177,2020-07-07 23:55:00+00:00,The most sacred obligation of our government is to keep our troops safe when we send them into battle — and to care for them when they come home. We need a president who will honor that obligation.,sacred obligation government troop safe send battle care come home need president honor obligation,15647,<UNK>,<UNK>,JoeBiden
1280620310539231237,2020-07-07 21:50:49+00:00,"Across the world, people come to this country with unrelenting optimism and determination toward the future. They study here, innovate here, they make America who we are. Donald Trump doesn't get that — we need a president who does.",world people come country unrelenting optimism determination future study innovate America Donald Trump need president,6806,<UNK>,<UNK>,JoeBiden
1280603719831359489,2020-07-07 20:44:53+00:00,"Americans are safer when America is engaged in strengthening global health. On my first day as President, I will rejoin the @WHO and restore our leadership on the world stage.",Americans safe America engage strengthen global health President rejoin @who restore leadership world stage,20556,<UNK>,@WHO,JoeBiden
1280584871841165312,2020-07-07 19:30:00+00:00,"We've seen what happens when the federal government fails to secure sufficient supplies of critical products like PPE — and we can't let it happen again. So today, I'm releasing my plan to rebuild U.S. supply chains:",see happen federal government fail secure sufficient supply critical product like happen today release plan rebuild U.S. supply chain,3987,<UNK>,<UNK>,JoeBiden
1280573547644141569,2020-07-07 18:45:00+00:00,Donald Trump needs to do his job.,Donald Trump need,18941,<UNK>,<UNK>,JoeBiden
