,id,created_at,original_text,clean_text,retweet_count,hashtags,mentions,original_author
0,1294421041788456962,2020-08-14 23:50:00+00:00,We’ve got to protect and expand Social Security — I’ll get it done as President.,protect expand Social Security President,5265,<UNK>,<UNK>,JoeBiden
1,1294400909640900608,2020-08-14 22:30:00+00:00,"I know just how important Social Security is for countless Americans. That's why as president, I'll protect and strengthen it — not defund it.",know important Social Security countless Americans president protect strengthen defund,16777,<UNK>,<UNK>,JoeBiden
2,1294382034899677184,2020-08-14 21:15:00+00:00,"This afternoon, @KamalaHarris and I filled out our paperwork to get on the ballot in November. Now, we're counting on you to do your part to make sure you're set to vote. Get registered today: http://IWillVote.com",afternoon @KamalaHarris fill paperwork ballot November count sure vote register today,8156,<UNK>,@KamalaHarris,JoeBiden
3,1294374485093543936,2020-08-14 20:45:00+00:00,"The fate of Social Security is on the ballot in November. As President, I will never, ever defund Social Security. I’ll strengthen it. Anything less is a failure of a president’s most important duty: to care for the American people.",fate Social Security ballot November President defund Social Security strengthen failure president important duty care american people,5672,<UNK>,<UNK>,JoeBiden
4,1294350074399449089,2020-08-14 19:08:00+00:00,"People are losing their homes. Millions have already lost their paychecks. Our country is in crisis. The virus isn’t taking a break — Republicans shouldn’t either. The House did their job. President Trump, bring the Senate back and pass a relief bill. Now.",People lose home million lose paycheck country crisis virus take break republican House President Trump bring Senate pass relief bill,16236,<UNK>,<UNK>,JoeBiden
5,1294336737012068355,2020-08-14 18:15:00+00:00,What kind of president tries to defund Social Security during an economic crisis?,kind president try defund Social Security economic crisis,9347,<UNK>,<UNK>,JoeBiden
6,1294323650254868481,2020-08-14 17:23:00+00:00,"Voting by mail is safe and secure. And don't take my word for it: Take it from the President, who just requested his mail-in ballot for the Florida primary on Tuesday.",voting mail safe secure word President request mail ballot Florida primary Tuesday,67129,<UNK>,<UNK>,JoeBiden
7,1294297729678495744,2020-08-14 15:40:00+00:00,"Today marks 85 years since the Social Security Act was signed into law, providing protection for the most vulnerable. Now we’re living in a moment where we must strengthen our commitment to Social Security — not defund it.",today mark year Social Security sign provide protection vulnerable live moment strengthen commitment Social Security defund,12768,<UNK>,<UNK>,JoeBiden
8,1294280868605956098,2020-08-14 14:33:00+00:00,The choice we make this November will decide the future of America. I have no doubt @KamalaHarris is the right partner to join me to lead our nation through this moment.,choice November decide future America doubt @KamalaHarris right partner join lead nation moment,4894,<UNK>,@KamalaHarris,JoeBiden
9,1294067462279843840,2020-08-14 00:25:00+00:00,82 days.,day,14542,<UNK>,<UNK>,JoeBiden
10,1294057395887333376,2020-08-13 23:45:00+00:00,".@KamalaHarris is going to stand with me in this campaign — and all of us are going to stand up for her. Together, we're going to make history.",.@KamalaHarris go stand campaign go stand go history,9083,<UNK>,@KamalaHarris,JoeBiden
11,1294041792858529798,2020-08-13 22:43:00+00:00,"There’s no better partner than @KamalaHarris to help me beat Donald Trump, but we can’t do it without your help. Chip in today to help us win in November:",well partner @KamalaHarris help beat Donald Trump help chip today help November,3585,<UNK>,@KamalaHarris,JoeBiden
12,1294027196877508610,2020-08-13 21:45:00+00:00,The hard truth is Black women still only get paid 62 cents for every dollar white men make. It's unacceptable. My administration will work to close the pay gap for Black women and create an economy where everyone gets a fair return for their work. #BlackWomensEqualPayDay,hard truth black woman pay cent dollar white unacceptable administration work close black woman create economy get fair return work BlackWomensEqualPayDay,5952,#BlackWomensEqualPayDay,<UNK>,JoeBiden
13,1293998759320444935,2020-08-13 19:52:00+00:00,I know @KamalaHarris will work every single day to make life better for all Americans and build this nation back better than before.,know @KamalaHarris work single life well Americans build nation well,4862,<UNK>,@KamalaHarris,JoeBiden
