,id,created_at,original_text,clean_text,retweet_count,hashtags,mentions,original_author
0,1294384573959344131,2020-08-14 21:25:05+00:00,"But, as Former President @AlvaroUribeVel is under house arrest, we join all freedom loving voices around the world in calling on Colombian officials to let this Hero, who is a recipient of the US Presidential Medal of Freedom, defend himself as a free man.",President @AlvaroUribeVel house arrest join freedom love voice world call colombian official Hero recipient Presidential Medal Freedom defend free,4566,<UNK>,@AlvaroUribeVel,Mike_Pence
1,1294384572889792515,2020-08-14 21:25:05+00:00,Spoke with our Great Ally President @IvanDuque of Colombia today. President @realDonaldTrump &amp; I are grateful for our partnership for Freedom in this Hemisphere &amp; our joint efforts to combat the drug trade. We respect Colombia’s institutions and independence...,speak Great Ally President @ivanduque Colombia today President @realDonaldTrump grateful partnership Freedom Hemisphere joint effort combat drug trade respect Colombia institution independence,3296,<UNK>,@IvanDuque @realDonaldTrump,Mike_Pence
2,1294350350330339329,2020-08-14 19:09:06+00:00,The @WhiteHouse Coronavirus Task Force remains committed to protecting our most vulnerable and finding ways to safely reopen schools this fall. We had a good meeting today to discuss the surge in testing to nursing homes &amp; providing PPE to protect teachers across America.,@whitehouse Coronavirus Task Force remain committed protect vulnerable find way safely reopen school fall good meeting today discuss surge testing nursing home provide protect teacher America,1548,<UNK>,@WhiteHouse,Mike_Pence
3,1294293005822767104,2020-08-14 15:21:14+00:00,"Today, on Navajo Code Talkers Day, we honor the Native Americans who played a crucial role in America’s victory in World War II. The unbroken Navajo Code saved countless American lives & our Country will always be grateful for these brave soldiers!",today Navajo Code Talkers honor Native Americans play crucial role America victory World unbroken Navajo Code save countless american life country grateful brave soldier,4216,<UNK>,<UNK>,Mike_Pence
4,1294046575598227456,2020-08-13 23:02:00+00:00,"Today is a historic day for Israel & the United Arab Emirates! For the first time in 49 years, under President @realDonaldTrump, two of our Nation’s closest partners reached a peace deal that will normalize relations.",today historic Israel United Arab Emirates time year President @realDonaldTrump Nation close partner reach peace deal normalize relation,1197,<UNK>,@realDonaldTrump,Mike_Pence
5,1294044396623626246,2020-08-13 22:53:20+00:00,"Every day, President @realDonaldTrump has stood without apology for the men and women of law enforcement and let me reassure you—We will NEVER defund the police!",President @realDonaldTrump stand apology woman enforcement reassure defund police,1930,<UNK>,@realDonaldTrump,Mike_Pence
6,1294040269357187073,2020-08-13 22:36:56+00:00,President @realDonaldTrump and I want people of law enforcement to know: You will always have our support and America’s support and we will ALWAYS stand with you on the Thin Blue Line!,President @realDonaldTrump want people enforcement know support America support stand thin blue line,10079,<UNK>,@realDonaldTrump,Mike_Pence
7,1294039912912748551,2020-08-13 22:35:31+00:00,"Honored to join @Heritage_Action to launch #FightForAmerica, a nationwide campaign to defend our American values and support our incredible law enforcement officers across this Country!",honor join @heritage_action launch FightForAmerica nationwide campaign defend american value support incredible enforcement officer country,235,#FightForAmerica,@Heritage_Action,Mike_Pence
8,1294015102094659584,2020-08-13 20:56:56+00:00,"Thank you, Iowa! It is great to be back in the Hawkeye State with @KimReynoldsIA, @joniernst and the men and women of Farmers and Ranchers for Trump! This President and this entire Administration has never wavered in its support of the agriculture community and we never will!",thank Iowa great Hawkeye State @KimReynoldsIA @joniernst woman Farmers Ranchers Trump President entire Administration waver support agriculture community,228,<UNK>,@KimReynoldsIA @joniernst,Mike_Pence
9,1294014351804895237,2020-08-13 20:53:57+00:00,"Our promise to every Farmer and Rancher: We’re going to continue to stand firm with China until we level the playing field for American agriculture, for American manufacturing, and for American workers! President @realDonaldTrump is always puts America FIRST! 🇺🇸",promise Farmer Rancher go continue stand firm China level play field american agriculture american manufacturing american worker President @realDonaldTrump put America united_state,396,<UNK>,@realDonaldTrump,Mike_Pence
10,1294013918738882562,2020-08-13 20:52:14+00:00,"While past admins turned their backs on our farmers & ethanol producers, President @realDonaldTrump told the people of Iowa that this Administration would expand ethanol markets. Once again he delivered on a promise: E-15 is now available year-round!",past admin turn back farmer ethanol producer President @realDonaldTrump tell people Iowa Administration expand ethanol market deliver promise e-15 available year round,510,<UNK>,@realDonaldTrump,Mike_Pence
11,1294011624907513857,2020-08-13 20:43:07+00:00,"We are FOR American Farmers and Ranchers! Under President @realDonaldTrump, we repealed the Waters of the USA rule and we restored private property rights here in Iowa and all across America!",American Farmers Ranchers President @realDonaldTrump repeal Waters rule restore private property right Iowa America,944,<UNK>,@realDonaldTrump,Mike_Pence
12,1293988572090052614,2020-08-13 19:11:31+00:00,"I was briefed today by @IAGovernor, @joniernst, @MikeNaigIA, and local farmers on Monday’s destructive derecho here in Iowa. Like I said to the farmers: President @realDonaldTrump and I are with you and we’ll make sure you have what you need to recover from this storm.",brief today @iagovernor @joniernst @MikeNaigIA local farmer Monday destructive derecho Iowa like say farmer President @realDonaldTrump sure need recover storm,943,<UNK>,@IAGovernor @joniernst @MikeNaigIA @realDonaldTrump,Mike_Pence
13,1293960261016211463,2020-08-13 17:19:01+00:00,"Hello Iowa! Here in the Hawkeye State, President @realDonaldTrump has delivered for Farmers and Ranchers. With Canada and Mexico being two of Iowa’s largest trading partners, the historic #USMCA will increase wages, jobs and economic activity for years to come.",hello Iowa Hawkeye State President @realDonaldTrump deliver Farmers Ranchers Canada Mexico Iowa large trading partner historic USMCA increase wage job economic activity year come,769,#USMCA,@realDonaldTrump,Mike_Pence
14,1293926543396282370,2020-08-13 15:05:02+00:00,Wheels up with @DHS_Wolf to the Great state of Iowa! This Administration has been fighting for America’s Farmers and Ranchers since day one and we will continue to fight for you with four more years!,wheel @dhs_wolf great state Iowa Administration fight America Farmers Ranchers continue fight year,969,<UNK>,@DHS_Wolf,Mike_Pence
15,1293732701451825152,2020-08-13 02:14:47+00:00,"Joe Biden & Kamala Harris want to raise taxes by $4 trillion, they want to do their own version of the Green New Deal, they’re going to appoint activists to our Courts, they support taxpayer funded abortion, they support open borders & they want to cut funding to law enforcement.",Biden Kamala Harris want raise taxis trillion want version Green Deal go appoint activist Courts support taxpayer fund abortion support open border want funding enforcement,4380,<UNK>,<UNK>,Mike_Pence
16,1293732299012485127,2020-08-13 02:13:11+00:00,We’ve created more jobs in the last 3 months than Joe Biden and Barack Obama created in their 8 years in office.,create job month Biden Barack Obama create year office,20134,<UNK>,<UNK>,Mike_Pence
17,1293668799653306371,2020-08-12 22:00:51+00:00,"The risk of Coronavirus to healthy young people is very low but the risks of not having our young people in schools are significant. Honored to join President @realDonaldTrump, @BetsyDeVosED &amp; @KellyannePolls today to discuss the importance of safely reopening America’s schools!",risk Coronavirus healthy young people risk have young people school significant honor join President @realDonaldTrump @BetsyDeVosED @KellyannePolls today discuss importance safely reopen America school,2187,<UNK>,@realDonaldTrump @BetsyDeVosED @KellyannePolls,Mike_Pence
18,1293659079496339457,2020-08-12 21:22:14+00:00,The @WhiteHouse Coronavirus Task Force met today as we are seeing encouraging trends across the Sun Belt and cases decline. We are working every day to make sure states have what they need and we will continue our whole-of-America response until the Coronavirus is in the past.,@whitehouse Coronavirus Task Force today see encouraging trend Belt case decline work sure state need continue America response Coronavirus past,2352,<UNK>,@WhiteHouse,Mike_Pence
