id,created_at,original_text,clean_text,retweet_count,hashtags,mentions,original_author
1224894410892218369,2020-02-05 03:15:59+00:00,"“Our message to terrorists is clear: You will NEVER escape American justice. If you attack our citizens, you forfeit your life.” President @realDonaldTrump at #SOTU",message terrorist clear escape american justice attack citizen forfeit life President @realDonaldTrump sotu,1629,#SOTU,@realDonaldTrump,Mike_Pence
1224890199160819712,2020-02-05 02:59:15+00:00,"""That is also why I am calling upon the Members of Congress here tonight to pass legislation finally banning the late-term abortion of babies."" —President @realDonaldTrump at #SOTU",call Members Congress tonight pass legislation finally ban late term abortion baby President @realDonaldTrump sotu,1847,#SOTU,@realDonaldTrump,Mike_Pence
1224887260983779328,2020-02-05 02:47:34+00:00,"""To those watching at home tonight, I want you to know: We will never let socialism destroy American healthcare!"" —President @realDonaldTrump at #SOTU",watch home tonight want know socialism destroy american healthcare President @realDonaldTrump sotu,2005,#SOTU,@realDonaldTrump,Mike_Pence
1224883036908597248,2020-02-05 02:30:47+00:00,"""All Americans are united with the Venezuelan people in their righteous struggle for freedom! Socialism destroys nations. But always remember, freedom unifies the soul.” —President @realDonaldTrump at #SOTU",Americans unite venezuelan people righteous struggle freedom socialism destroy nation remember freedom unify soul President @realDonaldTrump sotu,842,#SOTU,@realDonaldTrump,Mike_Pence
1224881849685762049,2020-02-05 02:26:04+00:00,"“One of the single biggest promises I made to the American people was to replace the disastrous NAFTA trade deal . . . Six days ago, I replaced NAFTA and signed the brand new United States—Mexico—Canada Agreement into law.” — President @realDonaldTrump at #SOTU",single big promise american people replace disastrous NAFTA trade deal day replace NAFTA sign brand United States Mexico Canada Agreement President @realDonaldTrump sotu,594,#SOTU,@realDonaldTrump,Mike_Pence
1224749746834853893,2020-02-04 17:41:09+00:00,"For the last three years, President @realDonaldTrump has kept his promises and consistently delivered victories for the American people! Promises Made, Promises Kept!",year President @realDonaldTrump keep promise consistently deliver victory american people promise promise Kept,544,<UNK>,@realDonaldTrump,Mike_Pence
1224749608280240128,2020-02-04 17:40:36+00:00,"Tonight, President @realDonaldTrump will show the American people, once again, how he’s been fighting for YOU since day one! Tune in at 9PM #SOTU",tonight President @realDonaldTrump american people fight Tune sotu,1054,#SOTU,@realDonaldTrump,Mike_Pence
1224466020355788801,2020-02-03 22:53:43+00:00,"Rush Limbaugh is a National Treasure who has made a difference on the airwaves of America for 30 years. Rush, Karen and I will be joining millions across this Country in praying for your swift recovery. God Bless You!",Rush Limbaugh National Treasure difference airwave America year Rush Karen join million Country pray swift recovery Bless,7101,<UNK>,<UNK>,Mike_Pence
1224068528745132034,2020-02-02 20:34:14+00:00,"Under President @realDonaldTrump, it has been three years of Promises Made and Promises Kept!",President @realDonaldTrump year promise promise keep,2298,<UNK>,@realDonaldTrump,Mike_Pence
1224057890836819969,2020-02-02 19:51:57+00:00,Iowa and America need #FOURMOREYEARS of President @realDonaldTrump in the @WhiteHouse!,Iowa America need fourmoreyear President @realDonaldTrump @whitehouse,1217,#FOURMOREYEARS,@realDonaldTrump @WhiteHouse,Mike_Pence
