Unnamed: 0,Unnamed: 0.1,id,created_at,original_text,clean_text,retweet_count,hashtags,mentions,original_author,lda_cluster
0,0,1288853916935913474,2020-07-30 15:08:14+00:00,"Saddened that Herman Cain—a formidable champion of business, politics and policy—has lost his battle with Covid. St. Peter will soon hear “999!” Keep up the fight, my friend.",sadden Herman Cain formidable champion business politic policy lose battle Covid Peter soon hear fight friend,1332,<UNK>,<UNK>,MittRomney,4
1,1,1284470653844889600,2020-07-18 12:50:42+00:00,"With the passing of John Lewis, America has lost not only a man of history, but a man for our season; O how we need such men of unwavering principle, unassailable character, penetrating purpose, and heartfelt compassion.",passing John Lewis America lose history season need unwavere principle unassailable character penetrate purpose heartfelt compassion,23566,<UNK>,<UNK>,MittRomney,4
2,2,1281937795616067586,2020-07-11 13:06:02+00:00,"Unprecedented, historic corruption: an American president commutes the sentence of a person convicted by a jury of lying to shield that very president.",unprecedented historic corruption american president commute sentence person convict jury lie shield president,154817,<UNK>,<UNK>,MittRomney,1
3,3,1280318583655084032,2020-07-07 01:51:52+00:00,"Congratulations @SpencerJCox on winning the GOP primary in Utah’s gubernatorial race! Our state has a long history of strong leadership, and I look forward to supporting you in November.",congratulation @SpencerJCox win primary Utah gubernatorial race state long history strong leadership look forward support November,109,<UNK>,@SpencerJCox,MittRomney,0
4,4,1274691483476639744,2020-06-21 13:11:46+00:00,Much of who I am is because of the man my father was. Thinking of him—and all of the values he instilled in me—today.,father think value instill today,1692,<UNK>,<UNK>,MittRomney,4
5,5,1269758561720156160,2020-06-07 22:30:06+00:00,Black Lives Matter.,black life Matter,63883,<UNK>,<UNK>,MittRomney,6
6,6,1269276783590989824,2020-06-06 14:35:41+00:00,"This is my father, George Romney, participating in a Civil Rights march in the Detroit suburbs during the late 1960s—“Force alone will not eliminate riots,” he said. “We must eliminate the problems from which they stem.”",father George Romney participate Civil Rights march Detroit suburb late 1960s—“force eliminate riot say eliminate problem stem,27731,<UNK>,<UNK>,MittRomney,5
7,7,1266911462192287745,2020-05-31 01:56:45+00:00,The George Floyd murder is abhorrent. Peaceful protests underscore the urgency of addressing injustices. But violence drowns the message of the protestors and mocks the principles of justice.,George Floyd murder abhorrent peaceful protest underscore urgency address injustice violence drown message protestor mock principle justice,2467,<UNK>,<UNK>,MittRomney,5
8,8,1265991708539576322,2020-05-28 13:01:58+00:00,No Americans should fear enmity and harm from those sworn to protect us. The death of George Floyd must not be in vain: Our shock and outrage must grow into collective determination to extinguish forever such racist abuse.,Americans fear enmity harm swear protect death George Floyd vain shock outrage grow collective determination extinguish forever racist abuse,18339,<UNK>,<UNK>,MittRomney,5
9,9,1265637094468259840,2020-05-27 13:32:52+00:00,"I know Joe Scarborough. Joe is a friend of mine. I don't know T.J. Klausutis. Joe can weather vile, baseless accusations but T.J.? His heart is breaking. Enough already.",know Scarborough friend know T.J. Klausutis weather vile baseless accusation T.J. heart break,36558,<UNK>,<UNK>,MittRomney,1
