id,created_at,original_text,clean_text,retweet_count,hashtags,mentions,original_author
1242559767450615808,2020-03-24 21:11:48+00:00,Started my run today going old school. Love this song. Hope you enjoy and this gives you a break from the tv! @RealMeatLoaf #MusicMakesLifeBetter 🎶,start today go school love song hope enjoy give break @RealMeatLoaf musicmakeslifebetter musical_note,51,#MusicMakesLifeBetter,@RealMeatLoaf,NikkiHaley
1242473079235739651,2020-03-24 15:27:20+00:00,What it means to push through the fear...,mean push fear,101,<UNK>,<UNK>,NikkiHaley
1242472641132236801,2020-03-24 15:25:36+00:00,So happy you are enjoying it! ❤️🇺🇸,happy enjoy red_heart_selector::united_states,0,<UNK>,<UNK>,NikkiHaley
1242295309667119106,2020-03-24 03:40:57+00:00,This is beyond embarrassing and an arrogant abuse of a vulnerable situation. #GodHelpUs,embarrass arrogant abuse vulnerable situation godhelpus,8342,#GodHelpUs,<UNK>,NikkiHaley
1242152459927199749,2020-03-23 18:13:19+00:00,DON’T impose new federal mandates and costs on already struggling businesses. Expensive mandates will only push companies to lay off workers. @standamericanow,don’t impose federal mandate cost struggle business expensive mandate push company worker @standamericanow,890,<UNK>,@standamericanow,NikkiHaley
1242099904966733829,2020-03-23 14:44:29+00:00,Celebrating #NationalPuppyDay. Bentley will always be a puppy to us❣️🐾,celebrate NationalPuppyDay Bentley puppy heart_exclamation::paw_prints,68,#NationalPuppyDay,<UNK>,NikkiHaley
1242097418314883072,2020-03-23 14:34:36+00:00,"DON’T bail out individual industries, pick winners and losers, or pass a bloated stimulus package. The entire economy is affected, and no single sector should receive preferential treatment.",don’t bail individual industry pick winner loser pass bloated stimulus package entire economy affect single sector receive preferential treatment,281,<UNK>,<UNK>,NikkiHaley
1242097312878428160,2020-03-23 14:34:11+00:00,An aid package should focus on helping small and medium-sized companies – not just corporations. Increasing liquidity will make the difference for these businesses to get through the crisis. @standamericanow,package focus help small medium sized company corporation increase liquidity difference business crisis @standamericanow,496,<UNK>,@standamericanow,NikkiHaley
1242096504992563201,2020-03-23 14:30:58+00:00,Thank you! So glad you enjoyed it. ❤️🇺🇸,thank glad enjoy red_heart_selector::united_states,0,<UNK>,<UNK>,NikkiHaley
1241839362125504519,2020-03-22 21:29:10+00:00,❤️🇺🇸,red_heart_selector::united_state,319,<UNK>,<UNK>,NikkiHaley
1241824866057289729,2020-03-22 20:31:34+00:00,We have friends who are doing this. So proud. America at her best! ❤️🇺🇸,friend proud America well red_heart_selector::united_states,412,<UNK>,<UNK>,NikkiHaley
1241818527776100357,2020-03-22 20:06:23+00:00,"Our goals going forward should be to expand our hospital capacity, produce more medical equipment, & protect our health care providers.But we will only really start recovering when the American people get back to work, and that needs to happen as soon as is safely possible.❤️🇺🇸",goal go forward expand hospital capacity produce medical equipment protect health care provider start recover american people work need happen soon safely possible.:red_heart_selector::United_States,1570,<UNK>,<UNK>,NikkiHaley
1241792508830658564,2020-03-22 18:23:00+00:00,This virus will pass and when it does the elections will quickly be upon us.There are some people that I strongly support and have been helping this election cycle. @joniernst has been a strong fighter for Iowa. Please consider supporting her by going to: https://joniernst.com/,virus pass election quickly people strongly support help election cycle @joniernst strong fighter Iowa consider support go,233,<UNK>,@joniernst,NikkiHaley
