,id,created_at,original_text,clean_text,retweet_count,hashtags,mentions,original_author
0,1294313815245561859,2020-08-14 16:43:55+00:00,"The peace agreement between Israel and UAE brokered by @realDonaldTrump, is a significant move to continuing efforts towards peace in the Middle East. #Historic 🇺🇸",peace agreement Israel broker @realDonaldTrump significant continue effort peace Middle East Historic United_States,341,#Historic,@realDonaldTrump,NikkiHaley
1,1294312497198096387,2020-08-14 16:38:41+00:00,"Biden, who as the presumptive Democratic nominee has embraced the socialist agenda put forth by Bernie Sanders, has pledged to repeal this vital tax reform, promising the largest tax increase in American history.",Biden presumptive democratic nominee embrace socialist agenda forth Bernie Sanders pledge repeal vital reform promise large increase american history,272,<UNK>,<UNK>,NikkiHaley
2,1294080615424438278,2020-08-14 01:17:16+00:00,Colleges and universities have a responsibility to allow everyone to speak and express themselves without fear of backlash. Universities should teach kids “how to think” NOT “what to think”. We must start to hold all universities accountable.,college university responsibility allow speak express fear backlash university teach kid think think start hold university accountable,1160,<UNK>,<UNK>,NikkiHaley
3,1294006686907277314,2020-08-13 20:23:30+00:00,Great news. Strong leadership. ❤️🇺🇸,great news strong leadership red_heart_selector::united_state,681,<UNK>,<UNK>,NikkiHaley
4,1293971019816996865,2020-08-13 18:01:46+00:00,Fantastic article by @kileyqallen in the @FDRLST on why the world needs to pay attention to the China’s horrible actions to those who use the power of their voices for freedom in Hong Kong. The brutal crackdown from China should not be ignored.,fantastic article @kileyqallen @FDRLST world need attention China horrible action power voice freedom Hong Kong brutal crackdown China ignore,750,<UNK>,@kileyqallen @FDRLST,NikkiHaley
5,1293966450869362690,2020-08-13 17:43:37+00:00,"Biden's pick for his VP running mate, Democratic California Senator Kamala Harris, was ranked as being more liberal than Democratic Vermont Senator Bernie Sanders, the congressperson often considered the furthest left within the Democratic caucus.",Biden pick running mate democratic California Senator Kamala Harris rank liberal democratic Vermont Senator Bernie Sanders congressperson consider furth leave democratic caucus,191,<UNK>,<UNK>,NikkiHaley
6,1293965708733362177,2020-08-13 17:40:40+00:00,"As a pres candidate, Sen. Harris promised to use executive power to sidestep Congress and implement her liberal agenda. The list includes restricting gun rights, legalizing illegal immigrants, and implementing equal pay. @standamericanow",pre candidate Sen. Harris promise executive power sidestep Congress implement liberal agenda list include restrict right legalize illegal immigrant implement equal @standamericanow,930,<UNK>,@standamericanow,NikkiHaley
7,1293965125347672066,2020-08-13 17:38:21+00:00,"During the pres campaign, Sen. Harris sponsored Bernie Sanders’ version of socialized medicine, Medicare for All, before she backed away from it. She also called for abolishing private insurance, saying, “Let’s eliminate all of that.” (She has since “clarified” that position.)",pre campaign Sen. Harris sponsor Bernie Sanders version socialized medicine Medicare back away call abolish private insurance say eliminate clarify position,153,<UNK>,<UNK>,NikkiHaley
8,1293964689290997760,2020-08-13 17:36:37+00:00,"Sen Harris on Energy: She planted herself squarely with the far left of the party, endorsing the Green New Deal and sponsoring an “equity plan” for climate change with Rep. Alexandria Ocasio-Cortez. She would also ban all fracking, killing millions of jobs in the process.",Harris Energy plant squarely left party endorse Green Deal sponsor equity plan climate change Rep. Alexandria Ocasio Cortez fracke kill million job process,544,<UNK>,<UNK>,NikkiHaley
9,1293964121411649544,2020-08-13 17:34:21+00:00,National Review stated Sen. Harris is “the most radically pro-abortion candidate to run for president or VP in the history of our country.” She cosponsored a bill which would override state’s restrictions on abortion by requiring states to get “preclearance” from the fed govt.,National Review state Sen. Harris radically abortion candidate president history country cosponsor bill override state restriction abortion require state preclearance govt,370,<UNK>,<UNK>,NikkiHaley
10,1293962735882047490,2020-08-13 17:28:51+00:00,"Where does Kamala Harris stand on law enforcement? “It is status-quo thinking to believe that putting more police on the streets creates more safety. That's wrong. It's just wrong."" She also applauded Los Angeles Mayor Eric Garcetti’s plan to slash police funding by $150 million.",Kamala Harris stand enforcement status thinking believe put police street create safety wrong wrong applaud Angeles Mayor Eric Garcetti plan slash police funding million,510,<UNK>,<UNK>,NikkiHaley
11,1293962020677652482,2020-08-13 17:26:01+00:00,"Kamala Harris on immigration: She wants to “reexamine” ICE, saying the country should consider “starting from scratch” with the immigration agency. She also supports decriminalizing illegal border crossings. @standamericanow",Kamala Harris immigration want reexamine say country consider start scratch immigration agency support decriminalize illegal border crossing @standamericanow,265,<UNK>,@standamericanow,NikkiHaley
12,1293915542718480384,2020-08-13 14:21:19+00:00,"Over 1,300 people have died in attacks by armed groups in the Democratic Republic of Congo (DRC) in the first 6 months of 2020, almost triple the amount of deaths compared to last year. Prayers for our brothers/sisters and sweet children of the DRC who deserve better.","1,300 people die attack armed group Democratic Republic Congo month 2020 triple death compare year prayer brother sister sweet child deserve well",170,<UNK>,<UNK>,NikkiHaley
13,1293648370364559360,2020-08-12 20:39:40+00:00,"Tik Tok tracked user data with a tactic experts in mobile-phone security said was concealed through an unusual added layer of encryption, appears to have violated Google policies.",track user datum tactic expert mobile phone security say conceal unusual add layer encryption appear violate Google policy,347,<UNK>,<UNK>,NikkiHaley
14,1293646315524685830,2020-08-12 20:31:31+00:00,Looking forward to some @ClemsonFB this year! 🏈,look forward @ClemsonFB year american_football,69,<UNK>,@ClemsonFB,NikkiHaley
15,1293641517811273732,2020-08-12 20:12:27+00:00,"Carmen Best, Seattle’s first female African American police chief, submitted her resignation after the Seattle Council voted to slash the police budget which will eliminate at least 100 officers from the force. Of course, protestors were upset the cuts did not go far enough.",carman well Seattle female african american police chief submit resignation Seattle Council vote slash police budget eliminate officer force course protestor upset cut,1144,<UNK>,<UNK>,NikkiHaley
16,1293341179657019392,2020-08-12 00:19:01+00:00,"And in a blink, we were moving our little one to college. I feel like we were just teaching him how to tie his shoes. Leaving him was hard but we are so proud of how he has grown up. ❤️ #NowWhat #EmptyNesters #MyHeartHurts",blink move little college feel like teach shoe leave hard proud grow red_heart_selector NowWhat EmptyNesters myhearthurt,254,#NowWhat #EmptyNesters #MyHeartHurts,<UNK>,NikkiHaley
17,1293194214201864192,2020-08-11 14:35:01+00:00,U.S. counterintelligence officials have revealed Tehran’s operations to interfere with the 2020 election. A Friday report from the office of the DNI concluded that Iran plans to spread disinformation to prevent President Donald Trump’s reelection.,U.S. counterintelligence official reveal Tehran operation interfere 2020 election Friday report office conclude Iran plan spread disinformation prevent President Donald Trump reelection,296,<UNK>,<UNK>,NikkiHaley
18,1293193349533507586,2020-08-11 14:31:35+00:00,"Arab states in a joint letter against Iran: Bahrain, Kuwait, Oman, Qatar, Saudi Arabia, and UAE charge that Iran has ""not ceased or desisted from armed interventions in neighboring countries, directly and through organizations and movements armed and trained by Iran.""",arab state joint letter Iran Bahrain Kuwait Oman Qatar Saudi Arabia charge Iran cease desist armed intervention neighboring country directly organization movement arm train Iran,458,<UNK>,<UNK>,NikkiHaley
19,1293189577427963909,2020-08-11 14:16:36+00:00,"From Chicago to New York to Portland, our mayors have lost control and given in to lawlessness. This kind of disrespect for human life and property doesn’t happen overnight. It comes from permissive leaders, bad policies, and a culture that dismisses personal accountability.",Chicago York Portland mayor lose control give lawlessness kind disrespect human life property happen overnight come permissive leader policy culture dismiss personal accountability,3743,<UNK>,<UNK>,NikkiHaley
20,1293188929928101888,2020-08-11 14:14:01+00:00,"What makes China bad is also a reminder of what makes America great. The Chinese Communist Party hates freedom of speech, freedom of the press, and democracy. They are all values America holds dear and must never stop fighting for. @standamericanow",make China reminder make America great Chinese Communist Party hate freedom speech freedom press democracy value America hold dear stop fight @standamericanow,528,<UNK>,@standamericanow,NikkiHaley
21,1292850529891221512,2020-08-10 15:49:20+00:00,Black leaders in New York City are urging the NYPD to restore the recently disbanded anti-crime unit as violent shootings spike.,black leader York City urge NYPD restore recently disband anti crime unit violent shooting spike,411,<UNK>,<UNK>,NikkiHaley
22,1292849531118333956,2020-08-10 15:45:22+00:00,Seattle small business owners are begging police to return and are suing the city for abandoning the Capitol Hill neighborhood to the organizers of the Capitol Hill Organized Protest (CHOP) zone.,seattle small business owner beg police return sue city abandon Capitol Hill neighborhood organizer Capitol Hill Organized Protest CHOP zone,211,<UNK>,<UNK>,NikkiHaley
23,1292827511857074178,2020-08-10 14:17:53+00:00,Biden’s record setting tax increases will take your money—and your job.,Biden record set increase money,370,<UNK>,<UNK>,NikkiHaley
24,1292827019873595393,2020-08-10 14:15:55+00:00,Joe Biden’s spending agenda reads like a far-left Christmas wish list: Government-run healthcare; the Green New Deal; “free” college; and many more. How will he pay for all of this spending. Tax increases. @standamericanow,Biden spend agenda read like leave Christmas wish list government healthcare Green Deal free college spending increase @standamericanow,413,<UNK>,@standamericanow,NikkiHaley
25,1292826485460475906,2020-08-10 14:13:48+00:00,"Joe Biden plans to Raise the corporate tax rate to 28% from the current 21%—putting America, once again, at a competitive disadvantage vis-a-vis other countries. The average corporate tax rate for European OECD countries is 21.9%. @standamericanow",Biden plan raise corporate rate current 21%—putting America competitive disadvantage country average corporate rate European OECD country 21.9 @standamericanow,627,<UNK>,@standamericanow,NikkiHaley
26,1292825715180789760,2020-08-10 14:10:44+00:00,"Joe Biden’s spending agenda: The top marginal rate for individual income will rise from 37% to 39.6%, and Biden will reinstate the deduction for state and local taxes that favors residents in big, high-tax cities like San Francisco and New York City. @standamericanow",Biden spending agenda marginal rate individual income rise 39.6 Biden reinstate deduction state local taxis favor resident high city like Francisco York City @standamericanow,99,<UNK>,@standamericanow,NikkiHaley
27,1292824231848353792,2020-08-10 14:04:51+00:00,"TikTok has been downloaded over 165 million times in the US. China is responsible for security breaches at Equifax, Marriott, & the White House Office of Personnel Mgt. Just imagine what the communist regime could do with TikTok’s massive network. @standamericanow",tiktok download million time China responsible security breach Equifax Marriott White House Office Personnel imagine communist regime TikTok massive network @standamericanow,208,<UNK>,@standamericanow,NikkiHaley
28,1292822824084807680,2020-08-10 13:59:15+00:00,"The more debt we take on, the more risky America becomes as an investment. That’s a recipe for economic collapse and American decline. Debt has to be paid back eventually. There is only one way to tackle our rising debt, and that’s to tackle Congress’ spending addiction.",debt risky America investment recipe economic collapse american decline debt pay eventually tackle rise debt tackle Congress spending addiction,1147,<UNK>,<UNK>,NikkiHaley
29,1292814759868403712,2020-08-10 13:27:12+00:00,"This is the first time Hong Kong's new national security law has been used against news media. Next Digital operates Apple Daily, a feisty pro-democracy tabloid that often condemns China's Communist Party government. #StandWithHongKong",time Hong Kong national security news medium Digital operate Apple Daily feisty democracy tabloid condemn China Communist Party government standwithhongkong,965,#StandWithHongKong,<UNK>,NikkiHaley
30,1292810162344988672,2020-08-10 13:08:56+00:00,Ok @PopcornFactory two messed up birthday orders missed delivery dates with no explanation. First time I gave you the benefit of the doubt. Second one tells me not to buy from you again. #DisappointedNephew,@PopcornFactory mess birthday order miss delivery date explanation time give benefit doubt second tell DisappointedNephew,1120,#DisappointedNephew,@PopcornFactory,NikkiHaley
31,1292634836243566592,2020-08-10 01:32:15+00:00,I’m so glad you enjoyed it❣️🇺🇸 #WithAllDueRespect,glad enjoy heart_exclamation::united_states withallduerespect,128,#WithAllDueRespect,<UNK>,NikkiHaley
32,1291800106317094914,2020-08-07 18:15:20+00:00,"At least 12 states are leading the charge and moving forward with liability protection that protect employers/institutions as they reopen. These states should be praised for putting common-sense first. From Utah to Ohio to Iowa to Georgia, is your state?",state lead charge move forward liability protection protect employer institution reopen state praise put common sense Utah Ohio Iowa Georgia state,88,<UNK>,<UNK>,NikkiHaley
33,1291798410874490881,2020-08-07 18:08:36+00:00,"We’ll never have a strong economic recovery if small businesses, schools & doctors can be sued into the ground. That’s why Senate Republicans are pushing for a “liability shield” that would put an end to frivolous lawsuits related to the coronavirus. States need to take the lead.",strong economic recovery small business school doctor sue ground Senate Republicans push liability shield frivolous lawsuit relate coronavirus state need lead,972,<UNK>,<UNK>,NikkiHaley
34,1291748829646278656,2020-08-07 14:51:35+00:00,"China has had their way for far too long. By @realDonaldTrump signing executive orders that would impose new limits on Chinese apps TikTok &amp; WeChat, he sends a strong message that we are onto them. No more cheating and stealing on his watch.",China long @realDonaldTrump signing executive order impose limit chinese app TikTok WeChat send strong message cheat steal watch,185,<UNK>,@realDonaldTrump,NikkiHaley
35,1291746604366667776,2020-08-07 14:42:44+00:00,Strong move by the administration to go after the leader who coordinated with China to break the promise of freedom to the people of Hong Kong.,strong administration leader coordinate China break promise freedom people Hong Kong,420,<UNK>,<UNK>,NikkiHaley
36,1291562291805257729,2020-08-07 02:30:21+00:00,Did you get your list of items filled?,list item fill,0,<UNK>,<UNK>,NikkiHaley
37,1291557505340977152,2020-08-07 02:11:19+00:00,Prayers for the families who have lost their loved ones. Very sad. ❤️,prayer family lose love one red_heart_selector,38,<UNK>,<UNK>,NikkiHaley
38,1291495063206293504,2020-08-06 22:03:12+00:00,Thank you to @RepJimBanks who led a coalition of 34 GOP legislators demanding a fed investigation into Chinese propaganda published in major media outlets. Now the NY Times has removed that propaganda from its website.,thank @RepJimBanks coalition legislator demand investigation chinese propaganda publish major medium outlet Times remove propaganda website,169,<UNK>,@RepJimBanks,NikkiHaley
39,1291493659708456960,2020-08-06 21:57:37+00:00,"The benefits of telemedicine are clear. It cuts costs. It saves time. It prevents the spread of sickness. And it expands access for people across the country, including many of America’s most vulnerable citizens. The sooner it’s expanded, the better. @standamericanow",benefit telemedicine clear cut cost save time prevent spread sickness expand access people country include America vulnerable citizen soon expand well @standamericanow,104,<UNK>,@standamericanow,NikkiHaley
40,1291493002742038535,2020-08-06 21:55:01+00:00,The pandemic has made telemedicine a fact of life for millions of Americans. Thanks to the President’s new exec order this critical service will be available to seniors in rural areas. Congress needs to pass bigger reforms that make telemedicine broadly available to more people.,pandemic telemedicine fact life million Americans thank President exec order critical service available senior rural area Congress need pass big reform telemedicine broadly available people,438,<UNK>,<UNK>,NikkiHaley
41,1290653411122327558,2020-08-04 14:18:47+00:00,Congratulations @MariaBartiromo on an amazing 25 years! You have had an amazing career.,congratulation @mariabartiromo amazing year amazing career,107,<UNK>,@MariaBartiromo,NikkiHaley
42,1290451969103015938,2020-08-04 00:58:19+00:00,A stormy hurricane night in South Carolina❣️ #HurricaneIsaias2020,stormy hurricane night South Carolina heart_exclamation HurricaneIsaias2020,46,#HurricaneIsaias2020,<UNK>,NikkiHaley
43,1290411681059950596,2020-08-03 22:18:14+00:00,Can’t wait to read it! Hope you have a version in English.,wait read hope version English,1,<UNK>,<UNK>,NikkiHaley
