id,created_at,original_text,clean_text,retweet_count,hashtags,mentions,original_author
1169591907632201728,2019-09-05 12:43:35+00:00,"The climate debate, fundamentally, is about how we're treating each other.",climate debate fundamentally treat,1151,<UNK>,<UNK>,PeteButtigieg
1169451959369240576,2019-09-05 03:27:29+00:00,"Just wrapped up @CNN's #ClimateTownHall. Follow @PeteForAmerica, where my team has been tweeting videos and facts about my plan to unite our country to meet the urgent challenges of climate change. And if you're with me, chip in:",wrap @CNN climatetownhall Follow @PeteForAmerica team tweet video fact plan unite country meet urgent challenge climate change chip,414,#ClimateTownHall,@CNN @PeteForAmerica,PeteButtigieg
1169306565423378433,2019-09-04 17:49:44+00:00,"We have faced few crises like the threat posed by our changing climate. But the magnitude of the crisis can also galvanize us to rise to the occasion and build a safer, healthier, and more prosperous world. Let’s come together to meet it.",face crisis like threat pose change climate magnitude crisis galvanize rise occasion build safe healthy prosperous world come meet,429,<UNK>,<UNK>,PeteButtigieg
1169264189363412992,2019-09-04 15:01:21+00:00,"Today, I released a bold plan to tackle climate change by bringing our country together. Because we can't wait. Tonight at 10 pm ET, I'll be on @CNN to talk about it—tune in.",today release bold plan tackle climate change bring country wait tonight @CNN talk tune,620,<UNK>,@CNN,PeteButtigieg
1169201507096551426,2019-09-04 10:52:16+00:00,"For too long D.C. has chosen denial and obstruction as we’re faced with the imminent catastrophic effects of climate change. But science compels us to act—and we're running out of time. Today, I'm announcing a plan to unite America to meet this challenge.",long D.C. choose denial obstruction face imminent catastrophic effect climate change science compel run time today announce plan unite America meet challenge,775,<UNK>,<UNK>,PeteButtigieg
1168999136659738624,2019-09-03 21:28:07+00:00,Workers should be able to bargain without fear of losing their jobs. I'm proud to stand with @MachinistsUnion workers in Indiana as they fight to save their jobs and secure better pay.,worker able bargain fear lose job proud stand @machinistsunion worker Indiana fight save job secure well,312,<UNK>,@MachinistsUnion,PeteButtigieg
1168867075391205376,2019-09-03 12:43:21+00:00,"20 new offices in Iowa, 12 new offices in New Hampshire, 1 new Twitter account for you to get all the updates—and the latest campaign news. #PhaseThree is here. Follow along with @PeteForAmerica!",office Iowa office Hampshire Twitter account update late campaign news PhaseThree follow @PeteForAmerica,448,#PhaseThree,@PeteForAmerica,PeteButtigieg
1168579699473358849,2019-09-02 17:41:26+00:00,"If we’re going to build a fair and prosperous future for us all, we urgently need every worker in America to have the opportunity to get ahead—and that means taking a bold new approach to strengthen unions for the next era. #UnionsForAll",go build fair prosperous future urgently need worker America opportunity ahead mean take bold approach strengthen union UnionsForAll,452,#UnionsForAll,<UNK>,PeteButtigieg
1168564697815277570,2019-09-02 16:41:49+00:00,"Thank you to all who’ve invested in our campaign, and welcome to our new organizers. We’re ready—now let’s get to work!",thank invest campaign welcome organizer ready work,452,<UNK>,<UNK>,PeteButtigieg
1168542459548319744,2019-09-02 15:13:27+00:00,"This Labor Day, let's celebrate the achievements of organized labor—whose struggle won us the 40-hour work week, labor protections, and child and safety standards—and join the fight for #UnionsForAll.",Labor celebrate achievement organize labor struggle 40-hour work week labor protection child safety standard join fight UnionsForAll,1030,#UnionsForAll,<UNK>,PeteButtigieg
1168289545965703168,2019-09-01 22:28:28+00:00,"Rather than meeting this crisis with the urgency it demands, lawmakers are weakening gun safety laws and putting corporate gun interests ahead of their own communities. It’s time to leave the @NRA and this failed approach in the dustbin of history.",meet crisis urgency demand lawmaker weaken safety law put corporate interest ahead community time leave @NRA fail approach dustbin history,2054,<UNK>,@NRA,PeteButtigieg
1168236295321268224,2019-09-01 18:56:52+00:00,Add Midland and Odessa to the list. We must act.,Midland Odessa list,1307,<UNK>,<UNK>,PeteButtigieg
1167937675602481153,2019-08-31 23:10:15+00:00,"Enough. Texas, my heart is with you. America, we must act.",Texas heart America,4859,<UNK>,<UNK>,PeteButtigieg
1167795301660405761,2019-08-31 13:44:31+00:00,"Now is still the time to prepare for Hurricane #Dorian. Florida, please make sure you’re following these steps to keep yourself or your loved ones safe.",time prepare Hurricane Dorian Florida sure follow step love one safe,454,#Dorian,<UNK>,PeteButtigieg
1167159998734114817,2019-08-29 19:40:03+00:00,"64 years ago this week, Emmett Till was tortured, murdered, and dumped in the Tallahatchie River. With hate still endangering lives in this country, his story needs to be told and remembered.",year week Emmett Till torture murder dump Tallahatchie River hate endanger life country story need tell remember,1621,<UNK>,<UNK>,PeteButtigieg
