id,created_at,original_text,clean_text,retweet_count,hashtags,mentions,original_author
1227959382387941382,2020-02-13 14:15:05+00:00,"Remember: our ""crazy idea"" of universal health care is a reality in: Australia Austria Belgium Canada Chile Czech Rep. Denmark Finland France Germany Greece Hungary Iceland Israel Italy Japan Netherlands New Zealand Norway Poland Portugal S. Korea Spain Sweden Switz. Turkey U.K.",remember crazy idea universal health care reality Australia Austria Belgium Canada Chile Czech Rep. Denmark Finland France Germany Greece Hungary Iceland Israel Italy Japan Netherlands Zealand Norway Poland Portugal Korea Spain Sweden Switz Turkey U.K.,41044,<UNK>,<UNK>,SenSanders
1227716135682019333,2020-02-12 22:08:31+00:00,"My friend @MarkRuffalo is right. Fracking poisons our water and causes climate change. I am proud to introduce the first nationwide fracking ban with @AOC, @SenJeffMerkley and @RepDarrenSoto. Our job: End the greed of the fracking industry and rapidly move to renewable energy.",friend @MarkRuffalo right fracke poison water cause climate change proud introduce nationwide fracke @AOC @SenJeffMerkley @RepDarrenSoto greed fracke industry rapidly renewable energy,4605,<UNK>,@MarkRuffalo @AOC @SenJeffMerkley @RepDarrenSoto,SenSanders
1227612761737265153,2020-02-12 15:17:44+00:00,"The big banks don't want us to cancel all $1.7 trillion in student debt by taxing Wall Street speculation. Too bad. It will be a tremendous act of economic, racial, and social justice for working people.",bank want cancel trillion student debt tax Wall Street speculation tremendous economic racial social justice work people,2161,<UNK>,<UNK>,SenSanders
1227347339481899009,2020-02-11 21:43:03+00:00,"I voted against the Patriot Act in 2001, 2006, 2011 and 2015. I strongly oppose its reauthorization next month. I believe that in a democratic and constitutional form of government, we cannot sacrifice the civil liberties that make us a free country.",vote Patriot 2001 2006 2011 2015 strongly oppose reauthorization month believe democratic constitutional form government sacrifice civil liberty free country,1855,<UNK>,<UNK>,SenSanders
1227320902271946753,2020-02-11 19:58:00+00:00,"Many public colleges and universities were tuition-free 50 years ago. America is now twice as rich. I think maybe we can afford to stop punishing our young people with student debt for the ""crime"" of getting an education. It's time to make college a right for all.",public college university tuition free year America twice rich think maybe afford stop punish young people student debt crime get education time college right,3333,<UNK>,<UNK>,SenSanders
1227314682299658247,2020-02-11 19:33:17+00:00,"When I say Trump is a pathological liar, what do I mean? He promised to ""always protect"" Medicare and Social Security last week. Yesterday, he released a budget to: ⚠️Cut Social Security by over $24 billion ⚠️Cut Medicare by $500 billion ⚠️Cut Medicaid by $900 billion Obscene.",Trump pathological liar mean promise protect Medicare Social Security week yesterday release budget warning_selector Social Security billion warning_selector Medicare billion warning_selector Medicaid billion Obscene,3090,<UNK>,<UNK>,SenSanders
1227297872196128769,2020-02-11 18:26:29+00:00,"My Prescription Drug Price Relief Act forces pharmaceutical CEOs to bring their prices down to what other rich countries pay. If Big Pharma refuses, we end their patent monopolies and allow cheap generics to be made, saving Americans billions of dollars a year.",Prescription Drug Price Relief force pharmaceutical ceo bring price rich country Pharma refuse patent monopoly allow cheap generic save Americans billion dollar year,1267,<UNK>,<UNK>,SenSanders
1227266604846764033,2020-02-11 16:22:14+00:00,"Decades of corporate trade have devastated our manufacturing base, killing millions of blue-collar jobs. A Green New Deal ends that. We will create millions of good, union jobs to manufacture renewable energy, increase energy efficiency, and rebuild our infrastructure.",decade corporate trade devastate manufacturing base kill million blue collar job Green Deal end create million good union job manufacture renewable energy increase energy efficiency rebuild infrastructure,1084,<UNK>,<UNK>,SenSanders
1227008382667763713,2020-02-10 23:16:09+00:00,"Jeff Bezos is the richest man in the world and Amazon is worth more than a trillion dollars. Workers there should not be 3 times more likely to be injured on the job. Bathroom breaks should not be considered ""time off task."" Amazon's warehouse conditions are intolerable.",Jeff Bezos rich world Amazon worth trillion dollar worker time likely injure bathroom break consider time task Amazon warehouse condition intolerable,3238,<UNK>,<UNK>,SenSanders
1226946434605502465,2020-02-10 19:10:00+00:00,"People are being thrown in jail for being unable to pay their medical bills. To my mind, that is outrageous and un-American. ""Medical debt"" should not exist.",People throw jail unable medical bill mind outrageous american medical debt exist,3043,<UNK>,<UNK>,SenSanders
