id,created_at,original_text,clean_text,retweet_count,hashtags,mentions,original_author
1251206581657710601,2020-04-17 17:51:10+00:00,"Maine’s agriculture sector is an integral part of our economy & continues to be the lifeblood of many rural communities. To help our farmers, the USDA must provide financial relief & direct payments to farmers who have suffered from losses due to COVID-19",Maine agriculture sector integral economy continue lifeblood rural community help farmer USDA provide financial relief direct payment farmer suffer loss covid-19,6,<UNK>,<UNK>,SenatorCollins
1251155940700639242,2020-04-17 14:29:56+00:00,"Maine will receive $9,273,552 to support K-12 & postsecondary education through the CARES Act. This funding will help schools adapt & transition to online learning & help students continue to receive quality instruction during the COVID-19 pandemic. https://www.collins.senate.gov/newsroom/senator-collins-announces-nearly-93-million-support-education-maine","Maine receive 9,273,552 support K-12 postsecondary education CARES funding help school adapt transition online learning help student continue receive quality instruction covid-19 pandemic",14,<UNK>,<UNK>,SenatorCollins
1251092879034003457,2020-04-17 10:19:21+00:00,"Welcome home, Jessica! You have made our entire state, and especially our hometown of Caribou, very proud.",welcome home Jessica entire state especially hometown Caribou proud,7,<UNK>,<UNK>,SenatorCollins
1251092878278918144,2020-04-17 10:19:21+00:00,"For the past 7 months, @Astro_Jessica has been shattering records aboard the @Space_Station. In between these trailblazing achievements, she worked on hundreds of experiments and spoke directly with Maine students.",past month @Astro_Jessica shatter record aboard @space_station trailblaze achievement work hundred experiment speak directly Maine student,29,<UNK>,@Astro_Jessica @Space_Station,SenatorCollins
1250910783162191872,2020-04-16 22:15:46+00:00,Members of the Maine and NH Delegations are united in calling on the DOD to reinstate its paid administrative leave policy at public shipyards like PNSY in order to protect the health of employees and their families.,member Maine Delegations united call reinstate pay administrative leave policy public shipyard like pnsy order protect health employee family,11,<UNK>,<UNK>,SenatorCollins
1250878334210375682,2020-04-16 20:06:49+00:00,"Nearly $500,000 has been awarded to the Maine Hospital Association to help ensure that medical professionals in our state have the training and resources they need to care for COVID-19 patients.","nearly 500,000 award Maine Hospital Association help ensure medical professional state training resource need care covid-19 patient",9,<UNK>,<UNK>,SenatorCollins
1250831268914266113,2020-04-16 16:59:48+00:00,"As of this morning, $2.22 billion in forgivable PPP loans have been approved for 16,196 Maine small employers. This funding is providing support to an estimated 190,000 employees. The high demand for these forgivable loans underscores the urgent need for Congress to act now.","morning 2.22 billion forgivable loan approve 16,196 Maine small employer funding provide support estimated 190,000 employee high demand forgivable loan underscore urgent need Congress",39,<UNK>,<UNK>,SenatorCollins
1250831268037697539,2020-04-16 16:59:48+00:00,"To give one example, a community bank in Maine has nearly 300 pending applications from self-employed individuals who are requesting an average forgivable loan amount of $26,000. We need to replenish this program immediately so that these individuals can access this assistance.","example community bank Maine nearly pende application self employ individual request average forgivable loan 26,000 need replenish program immediately individual access assistance",40,<UNK>,<UNK>,SenatorCollins
1250831266741719041,2020-04-16 16:59:47+00:00,The Paycheck Protection Program has run out of funding. We urgently need an additional $250 billion for this program I co-authored that provides forgivable loans so small employers can survive & give paychecks to their employees.,Paycheck Protection Program funding urgently need additional billion program author provide forgivable loan small employer survive paycheck employee,365,<UNK>,<UNK>,SenatorCollins
1250488575164104707,2020-04-15 18:18:03+00:00,"The extent of the damage isn't yet clear, but we do know that our neighbors in the community of Jay and the surrounding areas need our support.",extent damage clear know neighbor community surround area need support,10,<UNK>,<UNK>,SenatorCollins
1250488574304292864,2020-04-15 18:18:03+00:00,I am praying for the safety of the workers at the Androscoggin Mill in Jay as well as all of those who were in the vicinity of the explosion. I thank all of the brave first responders who have rushed to the scene to assist.,pray safety worker Androscoggin Mill vicinity explosion thank brave responder rush scene assist,22,<UNK>,<UNK>,SenatorCollins
1250459647368192001,2020-04-15 16:23:07+00:00,"UPDATE: $2.1 billion from the Paycheck Protection Program will support 14,154 Maine small employers & an estimated 180,000 Maine jobs. Nationally, more than one million small employers are approved. Congress must pass additional funding for the PPP I co-authored to meet demand.","update billion Paycheck Protection Program support 14,154 Maine small employer estimate 180,000 Maine job nationally million small employer approve Congress pass additional funding author meet demand",120,<UNK>,<UNK>,SenatorCollins
1250135379455418378,2020-04-14 18:54:35+00:00,It is imperative that the brave Maine men & women who are working on the front lines to combat COVID-19 have ready access to PPE. The Maine Delegation is urging HHS & FEMA to provide assistance in helping our state more easily access this potentially lifesaving equipment.,imperative brave Maine woman work line combat COVID-19 ready access Maine Delegation urge FEMA provide assistance help state easily access potentially lifesave equipment,29,<UNK>,<UNK>,SenatorCollins
1250105950167543810,2020-04-14 16:57:39+00:00,"UPDATE: Nearly $2 billion in forgivable Paycheck Protection Program loans have been approved for 12,364 Maine small employers. The PPP I co-authored is helping Maine small businesses continue to pay more than 100,000 employees & avoid closing their doors due to COVID-19.","update nearly billion forgivable Paycheck Protection Program loan approve 12,364 Maine small employer author help Maine small business continue 100,000 employee avoid close door covid-19",69,<UNK>,<UNK>,SenatorCollins
1250060251094749194,2020-04-14 13:56:03+00:00,"As the Chairman of the Transportation Appropriations Subcommittee, I co-authored a section of the CARES Act that directed $48.5 billion to support transportation and housing programs nationwide.",Chairman Transportation Appropriations Subcommittee author section CARES direct 48.5 billion support transportation housing program nationwide,7,<UNK>,<UNK>,SenatorCollins
1250060247349301248,2020-04-14 13:56:02+00:00,"Maine has been awarded more than $83 million to help ensure that public transportation remains strong and reliable so that people can access medical care, grocery stores, pharmacies, and other necessities during the COVID-19 pandemic.",Maine award million help ensure public transportation remain strong reliable people access medical care grocery store pharmacy necessity covid-19 pandemic,12,<UNK>,<UNK>,SenatorCollins
1249784430983557121,2020-04-13 19:40:02+00:00,Maine colleges and universities will receive more than $41 million in CARES Act funding. $20.5 million of this funding must be used for emergency financial aid grants to our students who have suffered economic harm as a result of COVID-19.,Maine college university receive million CARES funding 20.5 million funding emergency financial grant student suffer economic harm result covid-19,16,<UNK>,<UNK>,SenatorCollins
1249754388186497027,2020-04-13 17:40:40+00:00,"As of this morning, $1.87 billion in forgivable Paycheck Protection Program loans have been approved for 11,088 Maine small businesses. This critical relief will help more than 100,000 Maine employees receive paychecks even if they have been temporarily laid off due to COVID-19.","morning 1.87 billion forgivable Paycheck Protection Program loan approve 11,088 Maine small business critical relief help 100,000 Maine employee receive paycheck temporarily lay covid-19",334,<UNK>,<UNK>,SenatorCollins
1249746826263224323,2020-04-13 17:10:37+00:00,Students across Maine look up to you and Captain Cassidy! Thank you for taking the time to answer their questions. We are all looking forward to hearing about your time aboard the International Space Station on NASA TV at 1:20 PM. https://www.nasa.gov/multimedia/nasatv/index.html#public,student Maine look Captain Cassidy thank take time answer question look forward hearing time aboard International Space Station NASA 1:20,8,<UNK>,<UNK>,SenatorCollins
1249732806655254531,2020-04-13 16:14:54+00:00,"Thank you to all the truck drivers in Maine and throughout the country who are going above and beyond, missing time at home with their own families, in order to keep stores stocked with essential products during the COVID-19 pandemic.",thank truck driver Maine country go miss time home family order store stock essential product covid-19 pandemic,25,<UNK>,<UNK>,SenatorCollins
