id,created_at,original_text,clean_text,retweet_count,hashtags,mentions,original_author
1182642245448679424,2019-10-11 13:00:58+00:00,"Great news for Portland! The city, @PrebleStreet, &amp; the Jewish Community Alliance will receive a total of $892,586 in reimbursement for caring for the influx of asylum seekers this summer. As a senior member of the Appropriations Committee, I worked for this funding. (1/2)","great news Portland city @PrebleStreet jewish Community Alliance receive total 892,586 reimbursement care influx asylum seeker summer senior member Appropriations Committee work funding",20,<UNK>,@PrebleStreet,SenatorCollins
1181981755697504256,2019-10-09 17:16:25+00:00,"Today, we are seeing the consequences of that terrible decision. If the reports of Turkish strikes in Syria are accurate, I fear our allies the Kurds could be slaughtered. (2/2)",today see consequence terrible decision report turkish strike Syria accurate fear ally Kurds slaughter,144,<UNK>,<UNK>,SenatorCollins
1181981754690850817,2019-10-09 17:16:25+00:00,"On Monday, I said that President Trump’s decision to abandon the Kurds, our major ally in the fight against ISIS, was terribly unwise. (1/2)",Monday say President Trump decision abandon Kurds major ally fight ISIS terribly unwise,135,<UNK>,<UNK>,SenatorCollins
1181666634664235008,2019-10-08 20:24:14+00:00,What’s remarkable about President Bush’s and Ellen DeGeneres’ friendship is that it is remarkable in today’s polarized society. Great example: you don’t have to share the same views to be friends.,remarkable President Bush Ellen DeGeneres friendship remarkable today polarize society great example share view friend,335,<UNK>,<UNK>,SenatorCollins
1180518499040538624,2019-10-05 16:21:57+00:00,Maine is eternally grateful to the courageous men and women who put their lives on the line every day to keep us safe. Our thoughts continue to be with those who were critically injured in Farmington. (3/3),Maine eternally grateful courageous woman life line safe thought continue critically injure Farmington,6,<UNK>,<UNK>,SenatorCollins
1180518481600622593,2019-10-05 16:21:53+00:00,"I was honored to join first responders for this solemn ceremony, where a roll call of names was read of all Maine firefighters who passed away during the previous year, and memorial plaques were displayed. (2/3)",honor join responder solemn ceremony roll name read Maine firefighter pass away previous year memorial plaque display,7,<UNK>,<UNK>,SenatorCollins
1180518464626335744,2019-10-05 16:21:49+00:00,"The Maine State Federation of Firefighters’ service at the Firefighters Memorial in Augusta is always powerful, but this year it had a special significance due to the loss of Farmington Fire Capt. Michael Bell, Berwick Fire Capt. Joel Barnes, & Oxford Fire Chief Gary Sacco (1/3)",Maine State Federation Firefighters service Firefighters Memorial Augusta powerful year special significance loss Farmington Fire Capt Michael Bell Berwick Fire Capt Joel Barnes Oxford Fire Chief Gary Sacco,16,<UNK>,<UNK>,SenatorCollins
1179172271950385152,2019-10-01 23:12:32+00:00,"The FDA's intention to ban flavored e-cigarettes and vaping products is progress, and FDA should act ASAP to remove these flavored products from the market. (2/2)",intention flavor cigarette vaping product progress ASAP remove flavor product market,23,<UNK>,<UNK>,SenatorCollins
1179172270490689537,2019-10-01 23:12:31+00:00,Teachers have talked with me about the growing epidemic of vaping in high schools and middle schools in Maine. Companies are targeting teenagers and younger children with flavors like cotton candy. (1/2),teacher talk grow epidemic vaping high school middle school Maine company target teenager young child flavor like cotton candy,49,<UNK>,<UNK>,SenatorCollins
1176815154341847042,2019-09-25 11:06:11+00:00,"Today, @Astro_Jessica will not only fulfill her lifelong dream of going to space, but will make history as the first woman from Maine to reach orbit. Jessica is from my hometown of Caribou, and the city, The County, and the entire state are so proud of her accomplishment.",today @Astro_Jessica fulfill lifelong dream go space history woman Maine reach orbit Jessica hometown Caribou city County entire state proud accomplishment,65,<UNK>,@Astro_Jessica,SenatorCollins
1175056015949291521,2019-09-20 14:36:00+00:00,Lyme and other tick-borne diseases are skyrocketing in Maine & across the country. I chaired a hearing at @UMaine to raise awareness about this growing public health crisis and to discuss how the bipartisan TICK Act I authored can help address it. https://bangordailynews.com/2019/09/13/opinion/contributors/susan-collins-it-is-time-to-unite-against-ticks/,Lyme tick bear disease skyrocket Maine country chair hearing @UMaine raise awareness grow public health crisis discuss bipartisan TICK author help address,30,<UNK>,@UMaine,SenatorCollins
1174016703040282625,2019-09-17 17:46:08+00:00,"Cokie’s fairness, kindness, and political acumen were evident in her reporting. She was also a wonderful person. I have fond memories of a delightful lunch with her mother and her some years ago. (2/2)",Cokie fairness kindness political acuman evident reporting wonderful person fond memory delightful lunch mother year,4,<UNK>,<UNK>,SenatorCollins
1174016702050381832,2019-09-17 17:46:08+00:00,.@CokieRoberts was a legendary journalist whose insightful analysis and historical books on women leaders educated generations of Americans. (1/2),.@CokieRoberts legendary journalist insightful analysis historical book woman leader educate generation Americans,8,<UNK>,@CokieRoberts,SenatorCollins
1173713658318327808,2019-09-16 21:41:57+00:00,"Farmington is resilient, and I know the community is rallying to support those families who have been affected, including those whose homes were destroyed. The entire State of Maine is behind you. (3/3)",Farmington resilient know community rally support family affect include home destroy entire State Maine,8,<UNK>,<UNK>,SenatorCollins
1173713657341104128,2019-09-16 21:41:57+00:00,"I am continuing to pray for the firefighters who were injured—Fire Chief Terry Bell, Captain Timothy Hardy, Captain Scott Baxter, Theodore Baxter, Joseph Hastings, and Deputy Fire Chief Clyde Ross—as well as maintenance worker Larry Lord, who first called in the alarm. (2/3)",continue pray firefighter injure Fire Chief Terry Bell Captain Timothy Hardy Captain Scott Baxter Theodore Baxter Joseph Hastings Deputy Fire Chief Clyde Ross maintenance worker Larry Lord call alarm,8,<UNK>,<UNK>,SenatorCollins
1173713656363855872,2019-09-16 21:41:56+00:00,"I spoke with Franklin County Sheriff Scott Nichols to convey my deep sympathy for the entire Farmington community, which is reeling from the terrible explosion that claimed the life of Fire Captain Michael Bell today. (1/3)",speak Franklin County Sheriff Scott Nichols convey deep sympathy entire Farmington community reel terrible explosion claim life Fire Captain Michael Bell today,13,<UNK>,<UNK>,SenatorCollins
