Unnamed: 0,Unnamed: 0.1,id,created_at,original_text,clean_text,retweet_count,hashtags,mentions,original_author,lda_cluster
0,0,1294328152169287681,2020-08-14 17:40:53+00:00,.@PuritanUSA has been awarded $51.2 million to expand its COVID-19 testing swab production to 90 million per month. This investment will significantly boost testing efforts that will help us to safely reopen our communities.,.@PuritanUSA award 51.2 million expand covid-19 testing swab production million month investment significantly boost test effort help safely reopen community,24,<UNK>,@PuritanUSA,SenatorCollins,1
1,1,1294306013634596864,2020-08-14 16:12:55+00:00,The Social Security Act was signed into law 85 years ago today! Read my column about what more we can do to strengthen this vital program and help all Mainers receive the full Social Security benefits they have earned. https://www.pressherald.com/2020/08/14/susan-collins-celebrating-85-years-of-the-social-security-act/ #Happy85SocialSecurity,Social Security sign year today read column strengthen vital program help mainer receive Social Security benefit earn happy85socialsecurity,41,#Happy85SocialSecurity,<UNK>,SenatorCollins,1
2,2,1294070606544216064,2020-08-14 00:37:29+00:00,"The USPS continues to be a lifeline amid COVID-19, especially for seniors, veterans, & those in rural areas who rely on mail delivery for essential goods. I sent a letter calling for the USPS to promptly address the delays in mail delivery. https://www.collins.senate.gov/newsroom/senator-collins-calls-usps-address-delays-mail-delivery",USPS continue lifeline amid covid-19 especially senior veteran rural area rely mail delivery essential good send letter call USPS promptly address delay mail delivery,1193,<UNK>,<UNK>,SenatorCollins,6
3,3,1294044304835518464,2020-08-13 22:52:59+00:00,I held a @SenateAging hearing on the disparate impact of COVID-19 &amp; steps that we can take to support community partnerships &amp; culturally &amp; linguistically appropriate services for immigrant communities. Fatuma provided helpful expertise &amp; insight in preparation for that hearing.,hold @senateaging hearing disparate impact COVID-19 step support community partnership culturally linguistically appropriate service immigrant community Fatuma provide helpful expertise insight preparation hearing,5,<UNK>,@SenateAging,SenatorCollins,6
4,4,1294044301987635203,2020-08-13 22:52:58+00:00,"I met with Fatuma Hussein, Executive Director of @ircofme, to discuss Maine’s racial disparity in COVID-19 cases, how we can address it, &amp; how we can continue to work together to help all Mainers have access to the education &amp; resources they need to achieve their full potential.",Fatuma Hussein Executive Director @ircofme discuss Maine racial disparity covid-19 case address continue work help mainer access education resource need achieve potential,9,<UNK>,@ircofme,SenatorCollins,1
5,5,1294026597054459904,2020-08-13 21:42:37+00:00,Tex Tech Industries in North Monmouth is a global leader in engineering textiles & high-performance materials. I spoke with employees today about the innovative products they are making to help better protect our nation’s military & law enforcement & improve air travel safety.,Tech Industries North Monmouth global leader engineering textile high performance material speak employee today innovative product make help well protect nation military enforcement improve travel safety,11,<UNK>,<UNK>,SenatorCollins,6
6,6,1293958919023407105,2020-08-13 17:13:41+00:00,"At Strainrite in Auburn, I answered questions from employees & provided an update on the federal government’s response to COVID-19. As an employee-owned manufacturing company, Strainrite exemplifies Maine’s entrepreneurial spirit. The PPP is helping to sustain this small business",Strainrite Auburn answer question employee provide update federal government response COVID-19 employee own manufacturing company Strainrite exemplify Maine entrepreneurial spirit help sustain small business,18,<UNK>,<UNK>,SenatorCollins,1
7,7,1293933209831579653,2020-08-13 15:31:31+00:00,"Blackie’s Farm Fresh Produce is a staple in Auburn, working with local farmers to provide Mainers with access to fresh produce. I’m thrilled that a forgivable PPP loan helped Blackie’s owner Matt Manson to continue paying his staff despite disruptions due to COVID-19.",Blackie Farm Fresh Produce staple Auburn work local farmer provide mainer access fresh produce thrill forgivable loan help Blackie owner Matt Manson continue pay staff despite disruption covid-19,17,<UNK>,<UNK>,SenatorCollins,1
8,8,1293905206606999553,2020-08-13 13:40:15+00:00,"I enjoyed participating in the @LAMetroChamber breakfast, which was attended by Mainers both in person &amp; online. We discussed the need to overcome today’s polarized political environment to protect our health &amp; our economy as well as deliver relief for our state &amp; our nation.",enjoy participate @LAMetroChamber breakfast attend mainer person online discuss need overcome today polarize political environment protect health economy deliver relief state nation,12,<UNK>,@LAMetroChamber,SenatorCollins,6
9,9,1293650627973779459,2020-08-12 20:48:39+00:00,Maine families & small businesses have experienced economic hardships due to increased costs of imported foods. @SenatorMenendez &amp; I led a bipartisan group urging the @ustraderep to end the 25% tariff &amp; stop subjecting Maine to further harm amid COVID-19. https://www.collins.senate.gov/newsroom/senators-collins-menendez-urge-us-trade-ambassador-resolve-tariff-issue-amid-covid-19,Maine family small business experience economic hardship increase cost import food @SenatorMenendez bipartisan group urge @ustraderep tariff stop subject Maine harm amid covid-19,9,<UNK>,@SenatorMenendez @USTradeRep,SenatorCollins,1
