id,created_at,original_text,clean_text,retweet_count,hashtags,mentions,original_author
1294342752218615808,2020-08-14 18:38:54+00:00,The President & his cronies are trying to erode trust that our voice will be heard on election day because he fears our verdict on his failure on the coronavirus & more. But our heroic postal workers will honor our Constitution & continue to deliver for us. #SaveThePostOffice,President crony try erode trust voice hear election fear verdict failure coronavirus heroic postal worker honor Constitution continue deliver SaveThePostOffice,1575,#SaveThePostOffice,<UNK>,TeamPelosi
1294297562967609345,2020-08-14 15:39:20+00:00,Trump’s acts of sabotage against the postal service are a distraction from his dreadful mismanagement of #coronavirus and a domestic assault on our sacred right to vote. The American people *will* have a free and fair election. #SaveThePostOffice,Trump act sabotage postal service distraction dreadful mismanagement coronaviru domestic assault sacred right vote american people free fair election SaveThePostOffice,2985,#coronavirus #SaveThePostOffice,<UNK>,TeamPelosi
1294039387102117890,2020-08-13 22:33:26+00:00,"Before one student steps through the door in the morning, there is a community of heroes already hard at work in every school across our country. Fulfilling the duty to educate America’s children safely from the #covid pandemic starts with honoring the heroes who make it happen.",student step door morning community hero hard work school country fulfil duty educate America child safely covid pandemic start honor hero happen,554,#covid,<UNK>,TeamPelosi
1293968173767823364,2020-08-13 17:50:28+00:00,"On an average day, the Post Office is about small businesses shipping to customers; prescriptions getting to seniors, veterans and disabled persons; and rural communities accessing the world. In a pandemic, it’s also about saving lives and the life of our democracy. #SaveUSPS",average Post Office small business ship customer prescription get senior veteran disabled person rural community access world pandemic save life life democracy saveusps,3289,#SaveUSPS,<UNK>,TeamPelosi
1293907111064174594,2020-08-13 13:47:49+00:00,"States and local communities face drastic cuts from economic strain caused by the #coronavirus. Without help, we can brace for a loss of at least 4 million jobs. Helping states and local communities is about saving those jobs and putting #FamiliesFirst.",state local community face drastic cut economic strain cause coronavirus help brace loss million job help state local community save job put FamiliesFirst,1087,#coronavirus #FamiliesFirst,<UNK>,TeamPelosi
1293722584077537281,2020-08-13 01:34:34+00:00,"Democrats are trying to stop the #coronavirus and put the basic needs of #FamiliesFirst. Nearly half of Senate Republicans are saying no to *any* agreement. Sadly, the economy will only get worse without one. Either we pay now – or we pay *more* later.",Democrats try stop coronaviru basic need FamiliesFirst nearly half Senate Republicans say agreement sadly economy bad later,1313,#coronavirus #FamiliesFirst,<UNK>,TeamPelosi
1293684418188652545,2020-08-12 23:02:55+00:00,The disparate impact of the #coronavirus on communities of color is manifested across all age groups. Latino children are 8 times more likely to be hospitalized for #covid than their white counterparts; while Black children are 5 times more likely to be hospitalized.,disparate impact coronavirus community color manifest group latino child time likely hospitalize covid white counterpart black child time likely hospitalize,1376,#coronavirus #covid,<UNK>,TeamPelosi
1293636361757626368,2020-08-12 19:51:57+00:00,"The #covid pandemic is having a tragic and disproportionate impact on children in communities of color. To defeat the #coronavirus, we need a comprehensive and strategic plan that is grounded in science – not cruelty or fantasy.",covid pandemic have tragic disproportionate impact child community color defeat coronavirus need comprehensive strategic plan ground science cruelty fantasy,1191,#covid #coronavirus,<UNK>,TeamPelosi
1293575332033830913,2020-08-12 15:49:27+00:00,"Of the great array of women leaders considered for Vice President, many would do no harm; many could be President. To have those attributes combined with @JoeBiden’s comfort level makes @KamalaHarris the best possible person he could have chosen to serve the American people. –NP",great array woman leader consider Vice President harm President attribute combine @JoeBiden comfort level make @KamalaHarris good possible person choose serve american people,2729,<UNK>,@JoeBiden @KamalaHarris,TeamPelosi
1293282982564958208,2020-08-11 20:27:45+00:00,".@JoeBiden’s naming of Sen. @KamalaHarris Harris as the Democratic nominee for Vice President marks an historic and proud milestone for our country. As Vice President, Senator Harris will continue her legacy of trailblazing leadership to move our nation forward. My statement 👇🏻",.@JoeBiden naming Sen. @KamalaHarris Harris democratic nominee Vice President mark historic proud milestone country Vice President Senator Harris continue legacy trailblaze leadership nation forward statement backhand_index_pointing_down_light_skin_tone,5841,<UNK>,@JoeBiden @KamalaHarris,TeamPelosi
