Unnamed: 0,Unnamed: 0.1,id,created_at,original_text,clean_text,retweet_count,hashtags,mentions,original_author,lda_cluster
0,0,1294342752218615808,2020-08-14 18:38:54+00:00,The President & his cronies are trying to erode trust that our voice will be heard on election day because he fears our verdict on his failure on the coronavirus & more. But our heroic postal workers will honor our Constitution & continue to deliver for us. #SaveThePostOffice,President crony try erode trust voice hear election fear verdict failure coronavirus heroic postal worker honor Constitution continue deliver SaveThePostOffice,1575,#SaveThePostOffice,<UNK>,TeamPelosi,1
1,1,1294297562967609345,2020-08-14 15:39:20+00:00,Trump’s acts of sabotage against the postal service are a distraction from his dreadful mismanagement of #coronavirus and a domestic assault on our sacred right to vote. The American people *will* have a free and fair election. #SaveThePostOffice,Trump act sabotage postal service distraction dreadful mismanagement coronaviru domestic assault sacred right vote american people free fair election SaveThePostOffice,2985,#coronavirus #SaveThePostOffice,<UNK>,TeamPelosi,1
2,2,1294039387102117890,2020-08-13 22:33:26+00:00,"Before one student steps through the door in the morning, there is a community of heroes already hard at work in every school across our country. Fulfilling the duty to educate America’s children safely from the #covid pandemic starts with honoring the heroes who make it happen.",student step door morning community hero hard work school country fulfil duty educate America child safely covid pandemic start honor hero happen,554,#covid,<UNK>,TeamPelosi,6
3,3,1293968173767823364,2020-08-13 17:50:28+00:00,"On an average day, the Post Office is about small businesses shipping to customers; prescriptions getting to seniors, veterans and disabled persons; and rural communities accessing the world. In a pandemic, it’s also about saving lives and the life of our democracy. #SaveUSPS",average Post Office small business ship customer prescription get senior veteran disabled person rural community access world pandemic save life life democracy saveusps,3289,#SaveUSPS,<UNK>,TeamPelosi,6
4,4,1293907111064174594,2020-08-13 13:47:49+00:00,"States and local communities face drastic cuts from economic strain caused by the #coronavirus. Without help, we can brace for a loss of at least 4 million jobs. Helping states and local communities is about saving those jobs and putting #FamiliesFirst.",state local community face drastic cut economic strain cause coronavirus help brace loss million job help state local community save job put FamiliesFirst,1087,#coronavirus #FamiliesFirst,<UNK>,TeamPelosi,6
5,5,1293722584077537281,2020-08-13 01:34:34+00:00,"Democrats are trying to stop the #coronavirus and put the basic needs of #FamiliesFirst. Nearly half of Senate Republicans are saying no to *any* agreement. Sadly, the economy will only get worse without one. Either we pay now – or we pay *more* later.",Democrats try stop coronaviru basic need FamiliesFirst nearly half Senate Republicans say agreement sadly economy bad later,1313,#coronavirus #FamiliesFirst,<UNK>,TeamPelosi,1
6,6,1293684418188652545,2020-08-12 23:02:55+00:00,The disparate impact of the #coronavirus on communities of color is manifested across all age groups. Latino children are 8 times more likely to be hospitalized for #covid than their white counterparts; while Black children are 5 times more likely to be hospitalized.,disparate impact coronavirus community color manifest group latino child time likely hospitalize covid white counterpart black child time likely hospitalize,1376,#coronavirus #covid,<UNK>,TeamPelosi,6
7,7,1293636361757626368,2020-08-12 19:51:57+00:00,"The #covid pandemic is having a tragic and disproportionate impact on children in communities of color. To defeat the #coronavirus, we need a comprehensive and strategic plan that is grounded in science – not cruelty or fantasy.",covid pandemic have tragic disproportionate impact child community color defeat coronavirus need comprehensive strategic plan ground science cruelty fantasy,1191,#covid #coronavirus,<UNK>,TeamPelosi,6
8,8,1293575332033830913,2020-08-12 15:49:27+00:00,"Of the great array of women leaders considered for Vice President, many would do no harm; many could be President. To have those attributes combined with @JoeBiden’s comfort level makes @KamalaHarris the best possible person he could have chosen to serve the American people. –NP",great array woman leader consider Vice President harm President attribute combine @JoeBiden comfort level make @KamalaHarris good possible person choose serve american people,2729,<UNK>,@JoeBiden @KamalaHarris,TeamPelosi,1
9,9,1293282982564958208,2020-08-11 20:27:45+00:00,".@JoeBiden’s naming of Sen. @KamalaHarris Harris as the Democratic nominee for Vice President marks an historic and proud milestone for our country. As Vice President, Senator Harris will continue her legacy of trailblazing leadership to move our nation forward. My statement 👇🏻",.@JoeBiden naming Sen. @KamalaHarris Harris democratic nominee Vice President mark historic proud milestone country Vice President Senator Harris continue legacy trailblaze leadership nation forward statement backhand_index_pointing_down_light_skin_tone,5841,<UNK>,@JoeBiden @KamalaHarris,TeamPelosi,4
10,10,1293221113766596609,2020-08-11 16:21:55+00:00,Defeating the #coronavirus and meeting the urgent needs of the people devastated by the public health and economic crises triggered by this pandemic should be about listening to science – not to partisan cheerleaders of the President.,defeat coronavirus meet urgent need people devastate public health economic crisis trigger pandemic listen science partisan cheerleader President,1020,#coronavirus,<UNK>,TeamPelosi,6
11,11,1293189357570940929,2020-08-11 14:15:43+00:00,"Donald Trump is attacking the financial security of vulnerable Americans already devastated by a pandemic that has destroyed lives and livelihoods. We will stop him from harming the funding for #SocialSecurity, #Medicare, and #disability insurance benefits.",Donald Trump attack financial security vulnerable Americans devastate pandemic destroy life livelihood stop harm funding SocialSecurity Medicare disability insurance benefit,2115,#SocialSecurity #Medicare #disability,<UNK>,TeamPelosi,6
12,12,1293177140859621384,2020-08-11 13:27:11+00:00,Russia has never stopped attacking our elections for the benefit of Vladimir Putin’s good friend in the White House. The American people need to know the ways in which Russia is actively interfering in our elections.,Russia stop attack election benefit Vladimir Putin good friend White House american people need know way Russia actively interfere election,1239,<UNK>,<UNK>,TeamPelosi,1
13,13,1292974680350109697,2020-08-11 00:02:40+00:00,"As they did in 2016, Russia is interfering with our elections again and the President and Senate Republicans refuse to do anything about it. Why would they not want to protect our elections? Sadly with this President, all roads lead to his good friend, Vladimir Putin.",2016 Russia interfere election President Senate Republicans refuse want protect election sadly President road lead good friend Vladimir Putin,7625,<UNK>,<UNK>,TeamPelosi,1
14,14,1292946885632757761,2020-08-10 22:12:13+00:00,"We want parents earning and children learning again – safely. That requires resources and an effective strategy to reduce the high risk of #covid spread in schools. Despite his pressure on states and schools, the President is not even pretending he did anything to address that.",want parent earn child learn safely require resource effective strategy reduce high risk covid spread school despite pressure state school President pretend address,1893,#covid,<UNK>,TeamPelosi,6
15,15,1292887715361501184,2020-08-10 18:17:06+00:00,"Mail service delays pose a danger to the health of millions of veterans, seniors, and disabled or sheltered individuals who get their prescriptions by mail. USPS delays also harm our economy by creating access issues and uncertainty for small businesses and rural communities.",mail service delay pose danger health million veteran senior disabled shelter individual prescription mail USPS delay harm economy create access issue uncertainty small business rural community,6466,<UNK>,<UNK>,TeamPelosi,6
16,16,1292862382365192202,2020-08-10 16:36:26+00:00,"Democrats are working to provide for millions of children in America who are food-insecure. Even as more and more families are at risk of hunger during the pandemic, the President and Senate Republicans are doing next to nothing to help them put food on the table.",Democrats work provide million child America food insecure family risk hunger pandemic President Senate Republicans help food table,1282,<UNK>,<UNK>,TeamPelosi,6
