Unnamed: 0,Unnamed: 0.1,id,created_at,original_text,clean_text,retweet_count,hashtags,mentions,original_author,lda_cluster
0,0,1293526782436683776,2020-08-12 12:36:32+00:00,#BidenHarris2020 We're ready. Let's go win!,BidenHarris2020 ready,479,#BidenHarris2020,<UNK>,andrewcuomo,0
1,1,1292846537446510593,2020-08-10 15:33:29+00:00,"Take it from someone who understands the power of Executive Orders, the White House can't do this with an Executive Order. The federal government needs to pass legislation. If they don't, it's just another failure in a series of failures in the handling of this COVID crisis",understand power Executive Orders White House Executive order federal government need pass legislation failure series failure handling COVID crisis,94,<UNK>,<UNK>,andrewcuomo,1
2,2,1291013625910456320,2020-08-05 14:10:08+00:00,"If you are in a dangerous domestic situation, NY will help you find safe shelter. You aren't trapped because of COVID. #YouAreNotAlone #OPDVSupport",dangerous domestic situation help find safe shelter trap COVID YouAreNotAlone opdvsupport,69,#YouAreNotAlone #OPDVSupport,<UNK>,andrewcuomo,3
3,3,1290721697126125569,2020-08-04 18:50:07+00:00,"COVID isn’t a political issue and it should never have been politicized. Masks should never have been turned into political symbols by the president. None of us are safe until all of us our safe. Tell the truth, Mr. President.",COVID political issue politicize mask turn political symbol president safe safe tell truth President,86,<UNK>,<UNK>,andrewcuomo,1
4,4,1288533801812013057,2020-07-29 17:56:12+00:00,The Senate's #COVID19 Relief proposal is disappointing. But there's still significant common ground for an agreement to provide needed aid to states and localities to mitigate COVID-related losses. Congress must come together and help restore our nation's health and economy.,Senate COVID19 Relief proposal disappointing significant common ground agreement provide need state locality mitigate COVID relate loss Congress come help restore nation health economy,40,#COVID19,<UNK>,andrewcuomo,6
5,5,1287768761458733056,2020-07-27 15:16:12+00:00,Wearing a mask is about respect. Stop the Spread. Save Lives. #MaskUpAmerica,wear mask respect stop spread save life maskupamerica,59,#MaskUpAmerica,<UNK>,andrewcuomo,3
6,6,1285981324805840901,2020-07-22 16:53:34+00:00,"Until we control this virus as a nation, the economy can’t fully recover. The virus can and will cross state lines. Where is the national plan? 5 months later, we’re still waiting.",control virus nation economy fully recover virus cross state line national plan month later wait,109,<UNK>,<UNK>,andrewcuomo,6
7,7,1285605718217953280,2020-07-21 16:01:03+00:00,"Reopening does not mean returning to the past. Reopening means moving toward a new, safer normal. Be smart. Wear a mask. Stay six feet apart. Get tested.",reopen mean return past reopen mean move safer normal smart wear mask stay foot apart test,94,<UNK>,<UNK>,andrewcuomo,3
8,8,1285205975868342272,2020-07-20 13:32:37+00:00,NYC enters Phase 4 today. I'm so proud of what New Yorkers have done. But we must continue to be on alert.,enter phase today proud Yorkers continue alert,622,<UNK>,<UNK>,andrewcuomo,4
9,9,1284927706409455616,2020-07-19 19:06:52+00:00,You know what it takes to beat community spread? Community. We’ll only defeat this virus if we all work together. All of us.,know take beat community spread community defeat virus work,78,<UNK>,<UNK>,andrewcuomo,1
10,10,1284470729455603713,2020-07-18 12:51:00+00:00,"John Lewis was one of the greatest men this country has ever known - a man of unimpeachable integrity, wisdom, courage, and morality. He was our conscience. And I know I speak for the entire family of New York when I say we are devastated by this loss. #GoodTrouble",John Lewis great country know unimpeachable integrity wisdom courage morality conscience know speak entire family York devastate loss GoodTrouble,156,#GoodTrouble,<UNK>,andrewcuomo,4
11,11,1283034848177856515,2020-07-14 13:45:20+00:00,"Someone is clearly lying to the American people, and people are dying because of it.",clearly lie american people people die,130,<UNK>,<UNK>,andrewcuomo,1
12,12,1282670972076789760,2020-07-13 13:39:25+00:00,"As we allow ourselves to celebrate some good news, I urge residents to stay #NewYorkTough and not give up the ground we’ve worked so hard to gain together, especially in the face of rising cases throughout the country and compliance issues here at home",allow celebrate good news urge resident stay NewYorkTough ground work hard gain especially face rise case country compliance issue home,131,#NewYorkTough,<UNK>,andrewcuomo,6
13,13,1281714769683197952,2020-07-10 22:19:48+00:00,"""So that's why we need everyone to wear a mask! So that they don't get the Coronavirus. We don't want anyone getting it because it's super horrible.""",need wear mask Coronavirus want get super horrible,98,<UNK>,<UNK>,andrewcuomo,3
14,14,1280525736152088578,2020-07-07 15:35:01+00:00,It's up to ALL New Yorkers to keep this progress going.,Yorkers progress go,44,<UNK>,<UNK>,andrewcuomo,6
15,15,1280165915561205761,2020-07-06 15:45:13+00:00,Science. Data. Facts.,science datum fact,33,<UNK>,<UNK>,andrewcuomo,3
16,16,1279857018765967360,2020-07-05 19:17:46+00:00,"And if you do answer your ex’s call, remember to be New York Tough",answer remember York Tough,1186,<UNK>,<UNK>,andrewcuomo,1
17,17,1279082647088660480,2020-07-03 16:00:41+00:00,👇👇👇,backhand_index_pointing_down::backhand_index_pointing_down::backhand_index_pointing_down,48,<UNK>,<UNK>,andrewcuomo,0
18,18,1278745380931473408,2020-07-02 17:40:31+00:00,New Yorkers MUST comply with social distancing and wear masks. Don’t risk your life. Don’t risk someone else’s life. Wear a mask.,Yorkers comply social distancing wear mask risk life risk life wear mask,58,<UNK>,<UNK>,andrewcuomo,3
19,19,1278372892301053960,2020-07-01 17:00:23+00:00,"Today we are expanding our testing criteria statewide to ALL New Yorkers. There is enough capacity. Get tested. It’s so fast and easy even a Governor can take it. You don't have to be NY tough to take the test — you only have to be smart and love yourself, your family and NY.",today expand testing criterion statewide Yorkers capacity test fast easy Governor tough test smart love family,61,<UNK>,<UNK>,andrewcuomo,3
20,20,1278371669611077632,2020-07-01 16:55:31+00:00,"Our reopening process is based on data, science, and metrics. Because that's how New York must re-open.",reopen process base datum science metric York open,40,<UNK>,<UNK>,andrewcuomo,3
21,21,1278019485107183618,2020-06-30 17:36:04+00:00,Mask around your neck: Not useful. Mask covering your mouth and nose: Useful.,mask neck useful mask cover mouth nose useful,162,<UNK>,<UNK>,andrewcuomo,2
22,22,1277943185948508160,2020-06-30 12:32:53+00:00,Wake up America. COVID is getting worse not better. The White House is in denial.,wake America COVID get bad well White House denial,103,<UNK>,<UNK>,andrewcuomo,1
23,23,1277597718941249536,2020-06-29 13:40:07+00:00,This virus does not respond to politics or party. It responds to what we do. Show you care. Wear a Mask. Everyone Wear a Mask.,virus respond politic party respond care wear Mask wear Mask,119,<UNK>,<UNK>,andrewcuomo,1
24,24,1276552401743482880,2020-06-26 16:26:24+00:00,Reminder:,reminder,45,<UNK>,<UNK>,andrewcuomo,6
