id,created_at,original_text,clean_text,retweet_count,hashtags,mentions,original_author
1171193903581675524,2019-09-09 22:49:21+00:00,"Received an update on Air Force One at MCAS Cherry Point in North Carolina, regarding damage caused by Hurricane Dorian.",receive update Force MCAS Cherry Point North Carolina damage cause Hurricane Dorian,6047,<UNK>,<UNK>,realDonaldTrump
1171178388460978177,2019-09-09 21:47:41+00:00,"Departing MCAS Cherry Point in North Carolina for Fayetteville, North Carolina. This is amazing!",depart MCAS Cherry Point North Carolina Fayetteville North Carolina amazing,10215,<UNK>,<UNK>,realDonaldTrump
1171175113883934720,2019-09-09 21:34:41+00:00,Speaking to Governor @HenryMcMaster of South Carolina on my way to North Carolina for a big rally for Dan Bishop (@jdanbishop) running for Congress. Vote tomorrow! #NC09,speak Governor @HenryMcMaster South Carolina North Carolina rally Bishop @jdanbishop run Congress vote tomorrow nc09,6542,#NC09,@henrymcmaster @jdanbishop,realDonaldTrump
1171153468364451845,2019-09-09 20:08:40+00:00,To every one of the HEROES we recognized today — THANK YOU and God Bless You All!,HEROES recognize today thank Bless,14195,<UNK>,<UNK>,realDonaldTrump
1171120177196544000,2019-09-09 17:56:23+00:00,"We have been serving as policemen in Afghanistan, and that was not meant to be the job of our Great Soldiers, the finest on earth. Over the last four days, we have been hitting our Enemy harder than at any time in the last ten years!",serve policeman Afghanistan mean Great Soldiers fine earth day hit enemy hard time year,13518,<UNK>,<UNK>,realDonaldTrump
1171118516864454657,2019-09-09 17:49:47+00:00,"...the Economy, where there is NO Recession, much to the regret of the LameStream Media! They are working overtime to help the Democrats win in 2020, but that will NEVER HAPPEN, Americans are too smart!",Economy recession regret LameStream Media work overtime help Democrats 2020 happen Americans smart,9698,<UNK>,<UNK>,realDonaldTrump
1171118507712503813,2019-09-09 17:49:45+00:00,"...the look of turmoil in the White House, of which there is none. I view much of the media as simply an arm of the Democrat Party. They are corrupt, and they are extremely upset at how well our Country is doing under MY Leadership, including...",look turmoil White House view medium simply Democrat Party corrupt extremely upset country Leadership include,9556,<UNK>,<UNK>,realDonaldTrump
1171118506089361409,2019-09-09 17:49:44+00:00,"A lot of Fake News is being reported that I overruled the VP and various advisers on a potential Camp David meeting with the Taliban. This Story is False! I always think it is good to meet and talk, but in this case I decided not to. The Dishonest Media likes to create...",Fake News report overrule adviser potential Camp David meet Taliban story false think good meet talk case decide Dishonest Media like create,12292,<UNK>,<UNK>,realDonaldTrump
1171074780566622208,2019-09-09 14:55:59+00:00,"The Trump Administration has achieved more in the first 2 1/2 years of its existence than perhaps any administration in the history of our Country. We get ZERO media credit for what we have done, and are doing, but the people know, and that’s all that is important!",Trump Administration achieve year existence administration history country ZERO medium credit people know important,16170,<UNK>,<UNK>,realDonaldTrump
1171058875220541441,2019-09-09 13:52:47+00:00,"I had nothing to do with the decision of our great @VP Mike Pence to stay overnight at one of the Trump owned resorts in Doonbeg, Ireland. Mike’s family has lived in Doonbeg for many years, and he thought that during his very busy European visit, he would stop and see his family!",decision great Mike Pence stay overnight Trump own resort Doonbeg Ireland Mike family live Doonbeg year think busy european visit stop family,10875,<UNK>,@VP,realDonaldTrump
1171056605233852416,2019-09-09 13:43:46+00:00,"I know nothing about an Air Force plane landing at an airport (which I do not own and have nothing to do with) near Turnberry Resort (which I do own) in Scotland, and filling up with fuel, with the crew staying overnight at Turnberry (they have good taste!). NOTHING TO DO WITH ME",know Force plane landing airport near Turnberry Resort Scotland fill fuel crew stay overnight Turnberry good taste,14623,<UNK>,<UNK>,realDonaldTrump
1171051473607823360,2019-09-09 13:23:23+00:00,"..that this Administration has done. They don’t talk about the great economy, the big tax and regulation cuts, the rebuilding of the Military, “Choice” at our VA, our Vets, Judges and Supreme Court Justices, the Border Wall going up, lowest crime numbers, 2nd A, and so much more!",Administration talk great economy regulation cut rebuilding military Choice Vets Judges Supreme Court Justices Border Wall go low crime number,8601,<UNK>,<UNK>,realDonaldTrump
1171051472689270784,2019-09-09 13:23:22+00:00,"As bad as @CNN is, Comcast MSNBC is worse. Their ratings are also way down because they have lost all credibility. I believe their stories about me are not 93% negative, but actually 100% negative. They are incapable of saying anything positive, despite all of the great things...",@CNN Comcast MSNBC bad rating lose credibility believe story negative actually negative incapable say positive despite great thing,11710,<UNK>,@CNN,realDonaldTrump
1171046015106990081,2019-09-09 13:01:41+00:00,"...But most importantly, @CNN is bad for the USA. Their International Division spews bad information &amp; Fake News all over the globe. This is why foreign leaders are always asking me, “Why does the Media hate the U.S. sooo much?” It is a fraudulent shame, &amp; all comes from the top!",importantly @CNN International Division spew information Fake News globe foreign leader ask medium hate U.S. sooo fraudulent shame come,10906,<UNK>,@CNN,realDonaldTrump
